"BasePeriodID","FisheryID","ModelStockProportion"
3,1,0.88
3,2,0.66
3,3,0.56
3,4,0.60
3,5,0.97
3,6,0.96
3,7,0.96
3,8,0.80
3,9,0.89
3,10,0.99
3,11,0.98
3,12,1.00
3,13,0.94
3,14,0.94
3,15,0.94
3,16,0.97
3,17,0.98
3,18,0.98
3,19,1.00
3,20,0.97
3,21,0.97
3,22,0.97
3,23,1.00
3,24,1.00
3,25,1.00
3,26,0.96
3,27,0.92
3,28,1.00
3,29,1.00
3,30,0.85
3,31,0.58
3,32,0.33
3,33,0.32
3,34,0.76
3,35,0.47
3,36,1.00
3,37,1.00
3,38,1.00
3,39,1.00
3,40,1.00
3,41,1.00
3,42,1.00
3,43,1.00
3,44,1.00
3,45,1.00
3,46,1.00
3,47,1.00
3,48,1.00
3,49,1.00
3,50,1.00
3,51,1.00
3,52,1.00
3,53,1.00
3,54,1.00
3,55,1.00
3,56,1.00
3,57,1.00
3,58,1.00
3,59,1.00
3,60,1.00
3,61,1.00
3,62,1.00
3,63,1.00
3,64,1.00
3,65,1.00
3,66,1.00
3,67,1.00
3,68,1.00
3,69,1.00
3,70,1.00
3,71,1.00
3,72,1.00
3,73,1.00
