"ID","BasePeriodID","StockID","LImmature","KImmature","TImmature","CV2Immature","CV3Immature","CV4Immature","CV5Immature","LMature","KMature","TMature","CV2Mature","CV3Mature","CV4Mature","CV5Mature"
2,3,1,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
4,3,2,977.60,0.03,6.88,0.12,0.10,0.08,0.07,977.60,0.03,6.88,0.12,0.10,0.08,0.07
6,3,3,977.60,0.03,6.88,0.12,0.10,0.08,0.07,977.60,0.03,6.88,0.12,0.10,0.08,0.07
8,3,4,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
10,3,5,1013.00,0.03,7.41,0.10,0.09,0.08,0.06,1013.00,0.03,7.41,0.10,0.09,0.08,0.06
12,3,6,977.60,0.03,6.88,0.12,0.10,0.08,0.07,977.60,0.03,6.88,0.12,0.10,0.08,0.07
14,3,7,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
16,3,8,1013.00,0.03,7.41,0.10,0.09,0.08,0.06,1013.00,0.03,7.41,0.10,0.09,0.08,0.06
18,3,9,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
20,3,10,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
22,3,11,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
24,3,12,1013.00,0.03,7.41,0.10,0.09,0.08,0.06,1013.00,0.03,7.41,0.10,0.09,0.08,0.06
26,3,13,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
28,3,14,1013.00,0.03,7.41,0.10,0.09,0.08,0.06,1013.00,0.03,7.41,0.10,0.09,0.08,0.06
30,3,15,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
32,3,16,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
34,3,17,1013.00,0.03,7.41,0.10,0.09,0.08,0.06,1013.00,0.03,7.41,0.10,0.09,0.08,0.06
36,3,18,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
38,3,19,942.40,0.04,6.54,0.13,0.10,0.06,0.03,942.40,0.04,6.54,0.13,0.10,0.06,0.03
40,3,20,942.40,0.04,6.54,0.13,0.10,0.06,0.03,942.40,0.04,6.54,0.13,0.10,0.06,0.03
42,3,21,966.30,0.03,6.89,0.12,0.10,0.08,0.05,966.30,0.03,6.89,0.12,0.10,0.08,0.05
44,3,22,942.40,0.04,6.54,0.13,0.10,0.06,0.03,942.40,0.04,6.54,0.13,0.10,0.06,0.03
46,3,23,966.30,0.03,6.89,0.12,0.10,0.08,0.05,966.30,0.03,6.89,0.12,0.10,0.08,0.05
48,3,24,966.30,0.03,6.89,0.12,0.10,0.08,0.05,966.30,0.03,6.89,0.12,0.10,0.08,0.05
50,3,25,944.90,0.05,3.93,0.08,0.06,0.05,0.03,944.90,0.05,3.93,0.08,0.06,0.05,0.03
52,3,26,944.90,0.05,3.93,0.08,0.06,0.05,0.03,944.90,0.05,3.93,0.08,0.06,0.05,0.03
54,3,27,966.30,0.03,6.89,0.12,0.10,0.08,0.05,966.30,0.03,6.89,0.12,0.10,0.08,0.05
56,3,28,939.90,0.04,6.09,0.09,0.07,0.06,0.04,939.90,0.04,6.09,0.09,0.07,0.06,0.04
58,3,29,933.70,0.04,5.59,0.08,0.08,0.08,0.08,933.70,0.04,5.59,0.08,0.08,0.08,0.08
60,3,30,1072.00,0.03,6.49,0.11,0.10,0.08,0.06,1072.00,0.03,6.49,0.11,0.10,0.08,0.06
62,3,31,934.10,0.04,5.33,0.09,0.09,0.09,0.08,934.10,0.04,5.33,0.09,0.09,0.09,0.08
64,3,32,920.20,0.04,4.85,0.10,0.10,0.10,0.10,920.20,0.04,4.85,0.10,0.10,0.10,0.10
66,3,33,951.90,0.04,5.30,0.11,0.09,0.07,0.05,951.90,0.04,5.30,0.11,0.09,0.07,0.05
68,3,34,942.40,0.04,6.54,0.13,0.10,0.06,0.03,942.40,0.04,6.54,0.13,0.10,0.06,0.03
70,3,35,1010.00,0.04,5.33,0.11,0.08,0.06,0.03,1010.00,0.04,5.33,0.11,0.08,0.06,0.03
72,3,36,988.10,0.04,6.59,0.09,0.08,0.07,0.05,988.10,0.04,6.59,0.09,0.08,0.07,0.05
74,3,37,988.10,0.04,6.59,0.09,0.08,0.07,0.05,988.10,0.04,6.59,0.09,0.08,0.07,0.05
76,3,38,988.10,0.04,6.59,0.09,0.08,0.07,0.05,988.10,0.04,6.59,0.09,0.08,0.07,0.05
78,3,39,939.90,0.04,6.09,0.09,0.07,0.06,0.04,939.90,0.04,6.09,0.09,0.07,0.06,0.04
