"ID","Type","SurrogateFishery","SurrogateTimeStep","RecipientFishery","RecipientTimeStep"
833,1,3,1,3,2
834,9,4,2,4,2
835,9,4,3,4,3
836,9,5,1,5,1
837,9,5,2,5,2
838,9,5,3,5,3
839,9,6,1,6,1
840,9,6,2,6,2
841,9,6,3,6,3
842,2,15,1,7,1
843,2,15,3,7,3
844,2,8,2,8,1
845,3,9,1,9,1
846,2,13,1,12,1
847,2,13,2,12,2
848,2,13,3,12,3
849,2,41,1,17,1
850,1,18,1,18,3
851,3,19,1,19,1
852,3,19,2,19,2
853,3,19,3,19,3
854,2,20,2,21,2
855,2,20,3,21,3
856,1,23,1,23,3
857,1,25,1,25,3
858,2,31,3,31,1
859,1,31,1,31,3
860,3,32,1,32,1
861,1,33,1,33,3
862,1,34,1,34,2
863,2,36,3,36,2
864,1,37,1,37,3
865,2,37,3,37,1
866,2,37,3,38,1
867,2,37,3,38,3
868,1,39,1,39,3
869,2,39,3,39,1
870,1,40,1,40,3
871,2,40,3,40,1
872,1,41,3,41,2
873,2,42,3,41,3
874,1,42,2,42,3
875,2,42,3,42,2
876,2,54,1,42,1
877,2,43,3,44,3
878,2,43,3,44,1
879,2,45,1,45,2
880,2,45,1,45,3
881,1,46,2,46,3
882,2,46,3,47,1
883,2,46,3,47,2
884,2,46,3,47,3
885,9,48,3,48,2
886,9,48,3,48,3
887,2,51,3,51,1
888,2,51,3,52,1
889,2,51,2,52,2
890,2,51,3,52,3
891,2,53,3,53,2
892,2,54,3,54,2
893,2,53,1,55,1
894,2,53,3,55,3
895,2,56,3,56,2
896,2,56,1,58,1
897,2,56,3,58,3
898,2,56,1,59,1
899,2,56,3,59,3
900,2,61,3,60,1
901,2,61,3,60,3
902,2,61,3,61,1
903,2,63,3,62,1
904,2,63,3,62,3
905,2,63,3,63,1
906,2,64,1,64,2
907,2,65,3,64,3
908,2,64,1,65,1
909,2,64,1,66,1
910,2,65,3,66,3
911,9,67,3,67,1
912,9,67,3,67,2
913,9,67,3,67,3
914,9,68,1,68,1
915,9,68,3,68,3
916,9,69,1,69,1
917,9,69,3,69,3
918,9,70,3,70,1
919,9,70,3,70,3
920,9,70,3,71,1
921,9,70,3,71,3
922,2,49,3,50,3
