"ID","Type","Year","FisheryID","TimeStep","NonRetentionFlag","CNRInput1","CNRInput2","CNRInput3","CNRInput4"
1858,1,0,1,3,3,45009.14,29807.85,0.00,0.00
1859,1,0,2,3,3,8620.00,0.00,0.00,0.00
1860,1,0,4,3,3,4248.84,0.00,0.00,0.00
1861,1,0,5,3,3,2.86,0.00,0.00,0.00
1862,1,0,6,3,3,882.71,0.00,0.00,0.00
1863,1,0,7,3,3,60.85,0.00,0.00,0.00
1864,1,0,8,3,3,30306.57,0.00,0.00,0.00
1865,1,0,9,3,3,10857.71,1903.85,0.00,0.00
1866,1,0,10,3,3,128.00,140.85,0.00,0.00
1867,1,0,11,3,3,30306.57,0.00,0.00,0.00
1868,1,0,13,3,3,1463.42,0.00,0.00,0.00
1869,1,0,14,3,3,2126.71,0.00,0.00,0.00
1870,1,0,15,3,3,3879.85,0.00,0.00,0.00
1871,1,0,36,1,4,78.28,0.00,0.00,0.00
1872,1,0,37,1,4,46.21,0.00,0.00,0.00
1873,1,0,37,3,4,4541.47,0.00,0.00,0.00
1874,1,0,42,1,4,106.46,0.00,0.00,0.00
1875,1,0,42,3,4,10074.66,0.00,0.00,0.00
1876,1,0,45,1,4,1234.72,0.00,0.00,0.00
1877,1,0,45,3,4,2139.88,0.00,0.00,0.00
1878,1,0,53,1,4,3892.32,0.00,0.00,0.00
1879,1,0,53,3,4,5501.15,0.00,0.00,0.00
1880,1,0,54,1,4,30.63,0.00,0.00,0.00
1881,1,0,54,3,4,1464.44,0.00,0.00,0.00
1882,1,0,56,1,4,1353.14,0.00,0.00,0.00
1883,1,0,56,3,4,4872.22,0.00,0.00,0.00
1884,1,0,57,2,4,8.71,0.00,0.00,0.00
1885,1,0,57,3,4,55.14,0.00,0.00,0.00
1886,1,0,64,1,4,105.95,0.00,0.00,0.00
1887,1,0,64,3,4,521.60,0.00,0.00,0.00
